NavB	MemB	CD8T	CD4T	Monocyte	oracle	wtgs	paceg
CRUK0029_R2	2.72011847378285	1.54961065741434	4.20810787560036	1.5133767099113	3.54038803670365	1.82554921769323	1.56031417080608	2.16272164610321
CRUK0029_R4	3.03822979366377	2.12379768988784	5.09724256703886	0.771419432268922	1.49890790951426	3.4450042323411	1.57378459533062	2.84552210484222
CRUK0029_R5	2.75187651571312	1.7087493648884	2.02606305218671	0.736774829825972	1.43416303801451	2.77727386040547	1.55678219989853	2.34634486615486
CRUK0029_R6	3.27819696593468	1.4265368994012	2.15312477428333	1.20023539053784	1.31969208083551	3.33154521243724	1.56551210435916	2.93835494026547
CRUK0029_R7	2.53795375990815	1.39343203949243	3.12836431693254	0.726008092777862	1.58270523905929	1.5784276723206	1.52045122541743	1.48563136698073
CRUK0029_R8	2.67333172456645	1.53044920142659	1.9102563002277	0.733999152869295	1.45373758250817	2.41971652045398	1.53540819015647	1.75726242314161
CRUK0030_R2	1.63952060122382	0.789295410830036	1.29997752632074	1.34086685579701	2.03408996165762	1.53892790723311	1.37079591331784	1.70584175622974
CRUK0030_R3	1.14040969770173	0.779378584042109	1.17804475669715	1.54090819431261	1.82278669728087	1.06126039686175	1.213230699354	1.16257073692398
CRUK0031_R2	0.711495371939557	0.887492795164303	0.519352501010105	0.836055332562663	0.283360741910768	0.788253516920926	1.36104098472373	1.55488486364809
CRUK0032_R3	0.148858490756697	0.521999316175243	0.111064275019888	0.168993208976084	0.141739382381331	0.270249219515643	0.67792422319783	0.217192587176295
CRUK0033_R1	0.436176852832943	0.28053766557623	0.738039912466534	1.04723409211347	0.354082978864836	0.36992356299293	0.496776853244783	0.77900476983261
CRUK0033_R2	0.441424728872874	0.411674441137027	0.860757786868427	0.977461530765007	0.290573996423069	0.339727896433669	0.523919789665994	0.842051642859441
CRUK0035_LN1	1.40918520773718	1.09774615014453	3.38362138186973	0.890518232268767	4.32542859859776	0.490764570428376	1.12571532612908	1.00166994345172
CRUK0035_R1	0.575616690176173	0.490860466079498	0.441986598091172	0.464944200449018	0.959108301263629	0.510282155131276	0.759419773636797	0.825769784906953
CRUK0035_R2	0.295289034398302	0.40397553420009	0.23462929012265	0.372705304757259	0.709791986761389	0.420182394087689	0.678885638225723	0.611533312876902
CRUK0035_R3	0.485971050964292	0.463386034598149	0.321412349731914	0.433091115585478	0.810412126540102	0.462529619606009	0.691241320625395	0.673772204034663
CRUK0036_R1	3.05864193511843	2.11300365684372	3.86543864705733	1.66501322459384	3.40691813477016	1.26176151459531	1.57229094822304	2.02910047692827
CRUK0036_R2	2.22251194568288	1.34667101194372	4.2351492611985	2.68278650223867	2.27505187870527	1.10210315989766	1.50099143830866	1.62060701926773
CRUK0036_R3	1.8222982620009	1.20857563233108	4.02432063639314	2.30107289477736	3.28927735810472	1.01571734605315	1.40252037113831	1.42295114543607
CRUK0036_R4	3.41195422889641	1.66659239243847	5.17018831236512	2.06683964090478	2.65177718523267	1.66914019947259	1.55637968826267	2.50284507659477
CRUK0037_R1	0.435044092652694	0.382505166630809	1.12116474775597	3.06817015687171	1.52298484307663	0.691919647077173	0.624203788599692	0.941842247974743
CRUK0037_R2	1.12124826294507	0.64400507437962	1.91984921307347	4.87734235762391	5.22450144153922	0.477138150310622	0.702423174085759	0.647144031097261
CRUK0037_R3	0.250845835297732	0.322494220730867	0.538716046501656	3.66275732096971	1.07470465825873	0.679409029901917	0.566676749320071	0.903157596956052
CRUK0037_R4	1.28700227858577	0.836658418895984	5.40491049997726	6.28534406759651	7.7903306686134	0.474157525550873	0.747428865223812	0.780215845475961
CRUK0037_R5	1.25422785455518	0.596878252066922	5.60475790930611	7.61537740934452	7.8330025363255	0.398560290377282	0.749378336814464	0.592599627679524
CRUK0039_R1	2.63844154820575	1.5236704174123	3.73638062002908	0.765294947885722	1.3220274894616	1.43859923315721	1.46036699759056	1.13011598827636
CRUK0039_R2	2.72031625234187	1.65722071836226	1.76786473225101	0.718359391211487	1.25526327638574	1.5697796176898	1.50036720724433	1.2463576026256
CRUK0039_R3	2.99851729483329	1.59722888967278	3.42813709775833	0.718178296852997	1.1825795293407	1.40241469508038	1.46478000399526	1.03374641868102
CRUK0041_R1	3.29393402667095	2.34854992074664	5.21763877136702	1.55321918272131	2.99755411758327	1.63880030938369	1.54537111572465	2.47146925473004
CRUK0041_R2	3.21092668504505	2.42587733346215	4.3145932598264	1.29902494149038	2.53315377490976	1.3403681719841	1.5122642556019	1.77601996204591
CRUK0041_R3	3.34590337302169	2.36875090032757	5.53067646928994	3.37578884579419	4.53322348605103	0.988170415879191	1.48489561406058	1.17039808686385
CRUK0041_R4	3.16588285446111	2.45384330018382	3.82356636212357	1.69884779357044	2.78368351028023	1.66744158840337	1.48930950842334	2.5638881578966
CRUK0042_R1	0.491270184667314	0.436603706618222	0.606856308649044	1.50940096299835	1.575462006907	1.07450819824866	0.661583133360278	0.792580647419494
CRUK0044_R1	0.929557638821931	1.43902081603884	0.650428236180149	0.42905050927149	0.704373729355064	0.716493886965287	1.37993529109715	0.960495702325409
CRUK0046_R1	0.285878210917841	0.263716138047362	0.531270089396629	0.266058834216478	0.127905060233849	0.363166809501932	0.549334991126682	0.862742089279518
CRUK0046_R2	0.467074895309965	0.267323956213615	0.843891061509796	0.424658955653055	0.480578959282648	0.413336714520611	0.549218862689211	0.828474244445416
CRUK0046_R3	0.324137269932532	0.284257583148215	0.615433169081455	0.282986283897717	0.145240808632254	0.398062263230132	0.538100030009568	0.9034931609563
CRUK0046_R4	0.302674218677966	0.281629076448384	0.536742400995836	0.274108588196128	0.145637102754027	0.409157662828325	0.526675925464637	0.949410152884978
CRUK0047_R1	0.777681330648811	0.468449916847468	0.556205868382064	0.813844271023237	1.7229538134412	0.897431390468214	0.756911720113468	1.05258483279046
CRUK0047_R2	0.526576336943002	0.3466229843291	0.478768191465476	0.448591903790979	1.0477653081983	0.937947604098355	0.627117768141012	0.941285364212669
CRUK0048_R3	0.379640840489157	0.537912150134803	0.331542122487933	0.909101551066381	0.473877083071946	0.522744406043456	0.592135555964908	0.899606980120384
CRUK0050_R1	0.638599503169159	0.457250452832757	0.77795386279688	0.770950535020663	0.900301308623468	1.07408594658742	0.905860329579986	1.56136824633938
CRUK0050_R2	0.473307529628025	0.398770285046477	0.787883349574775	0.629342584115757	0.611943301469574	0.844508808431357	0.729521685268494	1.47425707071861
CRUK0050_R3	0.656419111766456	0.441471081256109	0.78611726760819	0.506504319860227	0.743811102920022	0.628145734339176	0.656581232876004	1.3169136642027
CRUK0050_R4	0.829870808156166	0.616235679692751	0.661448802183655	0.936418670228401	1.13039121612038	0.857355259768298	0.805606213505592	1.32988849471322
CRUK0050_R5	1.20356450666659	0.715957576062883	1.25610332272971	0.99710770120342	1.29929636531807	0.805176490907543	0.730952814311228	1.48862809502622
CRUK0052_R1	2.80251849415527	1.68203467090716	4.27397281790229	1.22231201549634	2.35495945108979	1.58961739824789	1.60771820074908	2.19054439971914
CRUK0052_R3	2.47850397342423	1.39199521409343	2.77571581650702	0.763378622283954	1.53766179612923	0.980748503676209	1.55493134167417	1.46588054963887
CRUK0052_R4	2.41943645483725	1.40934331760355	1.1007796297959	0.658223566370388	1.24095572166137	1.04866856344971	1.51225912131465	1.10768973490603
CRUK0053_R2	0.737059701078592	0.55242651812699	1.93385481450091	2.51943769800331	1.0840717981997	0.898392209088608	0.797370294991181	1.28142539579945
CRUK0055_R2	0.557881651987203	0.475525999070147	0.898637247791373	0.516594522012483	0.457388300375005	0.630723270533564	0.87536748856835	0.73251193922197
CRUK0057_R1	1.01573278624353	0.924262428173153	0.497483835065132	0.406338067181354	0.671830583574727	0.617754110177781	0.892553633297422	0.748732174363351
CRUK0057_R2	1.25700799946327	1.36691527181013	0.834551803727927	0.527054487007602	1.44336081849506	0.762139078043178	1.26558086217741	1.44400729879465
CRUK0060_R1	0.614930947775295	0.667671720178393	0.251486813634829	0.444012708381043	0.468659733243678	0.650758523628814	0.754550630391625	0.792669832945221
CRUK0061_R1	0.208639052516164	0.302615049290715	0.721707109221468	2.12150181750879	0.300794293535179	0.435614024195829	0.55798369292922	1.33289838730564
CRUK0061_R2	0.613126986114103	0.377474640630862	1.03656639065355	0.778984182678447	1.29310310724414	0.411773093931916	0.48581751813124	0.886092771365811
CRUK0062_R2	0.794757350055048	0.725376645040308	1.05110272216123	2.01598287528518	0.574240460260917	1.65709877524028	1.52239263698341	3.50765166448813
CRUK0062_R4	0.886824224685974	0.839493235438023	1.55624383902005	0.858971167754157	0.456797586887298	1.16081702078477	1.51024737373793	1.69824695693492
CRUK0062_R6	0.878075095229086	1.03740547955984	0.944537094474243	3.48377073064327	1.80695128870342	1.42896853837152	1.47847142937357	1.63268756115118
CRUK0062_R7	1.3187892931791	1.3788772639008	1.23622037578829	1.28813550434122	1.14107046184081	1.45909107870639	1.55905090160293	2.47287772981303
CRUK0065_R1	0.867963451776372	0.867407683422268	1.52852509940773	1.49125890264356	0.385505210032966	2.52050600008616	1.55125153217626	3.32076514016739
CRUK0065_R2	1.31281891224661	1.06421031624726	1.07895277426162	1.72007169696023	0.628855520165318	1.97461629267261	1.54195545434978	2.93153633616031
CRUK0065_R3	1.663836116795	1.14684546552468	0.907448916326898	1.54169749616509	0.875514299478587	1.21565456548865	1.55103669348104	1.89159358526782
CRUK0065_R4	1.51085597376711	1.03092996075887	0.750048385985155	1.02036882380016	0.519448676866311	1.59109121272997	1.53116933136008	2.57826523583386
CRUK0065_R5	1.1629401560078	1.34542983689399	0.947507450698334	1.13834998738938	0.328682720238782	2.01290282485844	1.55763206136292	2.5478841286052
CRUK0065_R6	1.57048484555243	1.07870354379855	1.15897176007505	0.932912615008136	0.646573241008601	1.58592409207548	1.55329006765155	2.97764300990088
CRUK0067_R1	1.12109423199322	1.37424158431928	0.827418106449865	0.482790475874226	0.764770038925034	1.2613638619432	1.53618947370817	2.13208116785031
CRUK0067_R3	1.23719776953509	1.29417172001491	1.24124691941448	1.5631251301124	0.514670235591287	1.8151095664544	1.57692477660533	4.27196365261849
CRUK0069_R1	0.744540861785486	1.12554964138334	0.594293292288668	0.207262409611636	0.131447632461993	0.716393528831553	1.47920197945742	1.0740497999102
CRUK0069_R2	0.944067551987199	1.93810936708527	0.276186176403662	0.354287484445681	0.44983532828633	0.152105326935748	1.45421468532893	0.364000821954467
CRUK0069_R3	0.650222586226414	1.34299270047363	0.585158763444396	0.966889943620344	0.181220876192939	1.15355302725755	1.52813832876478	2.62964610959647
CRUK0069_R4	0.78089148483055	1.46330458586521	0.501554592689036	0.416411527665396	0.150754194118723	1.04460869636672	1.45948188050521	1.26508954718279
CRUK0069_R5	0.622346122709447	1.31701688248784	0.36923745012669	0.225705977310905	0.166053255247335	0.74078841586757	1.45941750351695	1.06275342302483
CRUK0070_R1	1.3167710894879	1.6724340333234	0.920920548704253	1.36244532080926	0.567028879071463	2.12382633508437	1.57772391292033	2.61667249643911
CRUK0070_R2	1.62976505133808	1.66376884515567	1.13116694962562	1.26525270324153	0.823251193811754	1.3838831529195	1.57615670717523	2.38252236058738
CRUK0070_R4	1.16860018310698	2.53632475236517	0.673908366155534	1.43729400547253	1.10386770006472	2.09105284671973	1.59220984201427	1.98253672861028
CRUK0070_R6	1.10528681484477	2.35470545090566	0.690505322523389	0.463591570662134	1.40265445496768	1.39742524780444	1.56096593476555	1.73160174873677
CRUK0070_R7	1.17563391648093	2.47065009371705	0.584662494300687	0.411120277864173	1.82536763241074	1.36850665052986	1.56353375177689	1.51055718729231
CRUK0075_R2	0.710730387752381	0.720657730284859	0.728793200011658	1.60278344631315	0.55477463972941	1.62615213480992	1.50982921115946	1.85176791294063
CRUK0076_R2	0.52376935911419	0.595200808030559	0.950853865658781	1.54371120768537	0.340705471030607	0.926853114160057	1.49104992683577	1.08966973365562
CRUK0076_R4	0.667382454822721	0.799187451006949	1.17530605579497	1.3873050181116	0.370069844968203	1.09685496738383	1.51289032820118	1.32830141631004
CRUK0077_R1	0.795252032718523	1.45448340349755	0.516679635340684	0.863520603599616	0.520040473460313	1.24492146215309	1.52610213497087	1.25426374790443
CRUK0077_R2	0.676072353091254	1.04844947941132	0.649450893185205	1.08968599856085	0.343062702758108	1.67120470252126	1.54229570524857	2.17890560162175
CRUK0077_R3	0.684010731775912	1.23808975474122	0.509669540041772	0.925219408542529	0.33726106542155	1.50443412250009	1.52946828025537	1.95267966247014
CRUK0077_R4	0.685042162459167	1.21603746356172	0.464747456800432	0.900288361757133	0.244386209825402	1.22896334161319	1.52569039222207	1.83072784252798
CRUK0078_R2	0.736103426169591	2.54511219350852	0.139574713402559	0.684071641592557	1.21192395410372	1.40601770969151	1.54597713774616	1.34327425573526
CRUK0078_R3	0.785888309078197	0.876005432112989	0.327095348565266	0.403488115376472	2.37448476352465	1.16113866055942	1.57040395413171	1.52988839018706
