NavB_up.ES	MemB_up.ES	CD8T_up.ES	CD4T_up.ES	NKcell_up.ES	Monocyte_up.ES	NavB_dn.ES	MemB_dn.ES	CD8T_dn.ES	CD4T_dn.ES	NKcell_dn.ES	Monocyte_dn.ES	NavB_up.pval	MemB_up.pval	CD8T_up.pval	CD4T_up.pval	NKcell_up.pval	Monocyte_up.pval	NavB_dn.pval	MemB_dn.pval	CD8T_dn.pval	CD4T_dn.pval	NKcell_dn.pval	Monocyte_dn.pval
840550-T1-T	-7.13316399657495	-7.81977578843275	6.37480916450781	-14.7310230729539	-17.9785592051778	-15.6075699787091	-91.1425427902727	-20.0216286410498	-57.0836917778575	-15.1777574648581	-28.1274594117482	-2.7561738911806	0	0	0	0	0	0	0	0	0	0	0	0
840550-T4-T	-7.26814417040557	-7.8766573760649	6.77687133875193	-15.5199824061169	-17.2072192840408	-15.2773891314594	-86.4990292121726	-19.4956409206521	-53.7668542911697	-14.243783535443	-27.5429403373433	-3.32896744756478	0	0	0	0	0	0	0	0	0	0	0	0
840674-T5-T	-5.11987218800304	-3.7441596438148	-0.692233922465341	-9.4007848823368	-4.97995126856537	0.822065351049923	0.766476083256517	0.712194065328324	0.88251110621814	1.81446880074114	-6.00328122986953	-6.99826620704194	0	0	0	0	0	0	0	0	0	0	0	0
840674-T7-T	-6.07252443253795	-3.96145043711764	-1.27954370068803	-10.1338708616404	-6.69931685229756	-3.10278640092884	0.823292622008068	-4.043513550895	0.86769843992428	1.4674714871007	-6.2589151754298	-6.03830008556164	0	0	0	0	0	0	0	0	0	0	0	0
841808-T1-T	-4.8694039401015	-5.49216376060285	-2.69917472888176	-7.08463005205131	-8.85015587424135	-2.00966639005571	0.864424393549054	-5.7614191624494	0.555788957287975	-2.78747470582828	-7.73281297762872	-8.01520551110205	0	0	0	0	0	0	0	0	0	0	0	0
841808-T4-T	2.25595911614	1.50682260517657	5.68109487521346	1.81682042971252	2.04302122055008	4.02985007389018	1.63206706545157	3.54199316176524	1.03235951855415	1.89881648839618	1.20353095119813	-1.752954125235	0	0	0	0	0	0	0	0	0	0	0	0
841808-T8-T	-2.12401270539671	-2.64843478400834	-2.02438271844642	0.374811284125256	-7.74538066443109	-5.12110097202528	1.03843448274528	-5.54998492193806	-13.4707327805241	-3.51249937099621	1.39709294044187	-4.1763102467954	0	0	0	0	0	0	0	0	0	0	0	0
849616-T3-T	1.17224703513347	1.03720465999256	6.99140408097696	1.14357905545146	-5.43056902252331	-6.44087099895643	0.880182300248434	3.17383962887833	-16.7719314807347	-5.26812915468913	1.23460046763563	2.07721959556858	0	0	0	0	0	0	0	0	0	0	0	0
849616-T7-T	-6.4200773311992	-7.87516773696383	6.00136868514933	0.478910593605483	-13.5359629856269	-13.5939879453283	-24.4101700552922	2.0673364901851	-29.6830953306921	-11.4789456098816	1.04812818673985	1.26538120692691	0	0	0	0	0	0	0	0	0	0	0	0
849616-T8-T	3.43955963570293	1.15719158087481	11.609047728315	1.8570982227744	1.07841299303243	-2.8145108236755	-58.572930996565	-2.64319883863135	-49.0249246036627	-9.07356108533591	-5.3894585044014	4.9997770505037	0	0	0	0	0	0	0	0	0	0	0	0
852845-T4-T	1.2222947726016	1.35754195379289	6.65485137357758	1.37369127277143	-5.41495103565946	-8.02697180351298	0.785884334038189	2.78644609086121	-17.8528963137348	-5.8267409512914	1.18248310738409	2.44259767762906	0	0	0	0	0	0	0	0	0	0	0	0
852845-T8-T	-8.98869683347195	-9.83949373298726	4.81190186618692	-5.40813933343868	-17.4072357558364	-17.3551327763008	-34.0834956189457	-10.1386930723679	-33.7530916719739	-13.6024557987717	-7.78525249024846	1.03310508681925	0	0	0	0	0	0	0	0	0	0	0	0
858752-T1-T	1.61948568329029	0.961673655633949	5.78947546926403	1.68854441627883	1.47981299313734	0.738087444753781	-18.6846592947513	1.5930064115708	-17.1666809600138	-4.08928969407309	1.06881853730806	2.21453729033506	0	0	0	0	0	0	0	0	0	0	0	0
858752-T4-T	2.3286758044444	1.27325926177287	5.28332534077618	1.82761108532152	1.4262467465915	-2.98168084843079	0.932491087292478	1.87219546702778	-17.4598379319408	-3.61122519839329	1.12372687950668	2.31421356032121	0	0	0	0	0	0	0	0	0	0	0	0
858752-T8-T	3.97161384586428	2.45632829256647	9.05239902146953	2.47296913444313	1.75257521646389	-1.86727586681235	-15.8338352641907	1.50294134057736	-17.4685083892657	-3.95017206114215	1.04610410253205	3.69120181681013	0	0	0	0	0	0	0	0	0	0	0	0
873708-T1-T	-6.54856051402352	-5.16110425291516	6.76974081688491	-8.41266319020457	-13.6310646673666	-8.20091930725598	-30.0329415754332	-8.88428958881349	-21.7139213032425	-6.30096382163672	-5.06303666021339	-4.89600784203157	0	0	0	0	0	0	0	0	0	0	0	0
873708-T4-T	1.82284450973221	0.909532509629956	7.80746223076201	-4.0202660594091	-5.97813149985036	1.19138437669772	-19.3108325396943	1.36904489086111	-20.264978242882	-3.16729771069606	-4.65887563328875	-1.46005204378862	0	0	0	0	0	0	0	0	0	0	0	0
875099-T1-T	-9.22351297651724	-7.60937511762785	5.2228850099423	-5.61981775044148	-15.840096545477	-10.8890630464469	-27.3754238713853	-9.21474566665862	-19.0971162612272	-7.00039553185586	-10.1159033508876	-3.33072596654741	0	0	0	0	0	0	0	0	0	0	0	0
875099-T4-T	-6.95006434683759	-5.10121261350472	5.55705031652778	0.720270378540206	-7.5559571917053	-3.63860917825832	-15.3239987388449	1.02222370453123	-20.8569265547269	-2.4625119491352	-6.21853124795912	-2.99833773527988	0	0	0	0	0	0	0	0	0	0	0	0
875099-T8-T	-3.92163821851222	-3.00951433582156	5.61136604407327	0.710560117282161	-7.98876904555676	-2.64869498660674	0.721179918872541	1.60963097239141	-18.4149869996842	-1.80409819816688	-5.82782522447126	-2.15857492340297	0	0	0	0	0	0	0	0	0	0	0	0
886403-T1-T	2.97088470099856	1.22698258870529	6.55000392746352	1.23405197526309	-5.01454482539092	0.919649908858778	-30.316244395938	0.858419482675069	-21.457777629196	-4.82305472791244	0.982862829953472	1.01036179525385	0	0	0	0	0	0	0	0	0	0	0	0
886403-T4-T	2.35451184673645	1.25737361360934	6.33349661547638	0.796785058749248	-3.71772464875007	1.58851566333383	-24.8694326092029	-4.17212028968251	-10.8001469345837	0.544803148805534	0.736496860629312	-2.54270583676715	0	0	0	0	0	0	0	0	0	0	0	0
886403-T8-T	3.41219138177508	1.18703402208647	11.2578476785227	1.82755252878679	-6.59740544703482	-7.20142504551548	-57.4360298448911	-7.07944072566127	-39.1647745301255	-8.49359489650088	-4.25064597877436	2.85251183584492	0	0	0	0	0	0	0	0	0	0	0	0
888712-T1-T	-2.43792711585358	-2.88115364688407	8.61673007785187	-7.09857143274645	-6.65067912685992	-3.01324151737199	-31.9154351228945	-5.90255033037779	-23.9751510404056	-3.65060272341645	-8.26452372746111	-6.15551780569255	0	0	0	0	0	0	0	0	0	0	0	0
888712-T4-T	5.78406189382981	3.914540054721	15.1730989869207	2.16241852362818	1.68612846929353	1.82747796790942	-30.0092568618472	2.05543202336493	-23.1320095753002	0.908007716573901	0.581305787616066	2.64542834973085	0	0	0	0	0	0	0	0	0	0	0	0
888712-T8-T	4.14025031168013	2.9793477992289	11.4153042495124	1.53444803609434	1.01996635412945	1.53380532010494	-15.5667327361655	1.30546475134214	-15.6296327987222	0.740097451826093	-5.34652250040725	1.64592965260708	0	0	0	0.025	0.452	0.065	0	0.142	0	0.793	0.003	0.045
